REGION	TIK	UIK	TIK.NAME	UIK.NAME	VOTERS	BALLOTS.ISSUED	BALLOTS.CAST	BALLOTS.INVALID	YES	YES.pct	NO	NO.pct
Город Санкт-Петербург	7	765	Территориальная избирательная комиссия №7	УИК №765	2503	1133	1133	41	795	70.17%	297	26.21%
Город Санкт-Петербург	7	766	Территориальная избирательная комиссия №7	УИК №766	2261	1453	1452	8	1131	77.89%	313	21.56%
Город Санкт-Петербург	7	767	Территориальная избирательная комиссия №7	УИК №767	2220	784	784	11	464	59.18%	309	39.41%
Город Санкт-Петербург	7	768	Территориальная избирательная комиссия №7	УИК №768	2217	1755	1746	13	1384	79.27%	349	19.99%
Город Санкт-Петербург	7	769	Территориальная избирательная комиссия №7	УИК №769	2657	2215	2215	8	1883	85.01%	324	14.63%
Город Санкт-Петербург	7	770	Территориальная избирательная комиссия №7	УИК №770	1325	454	454	1	312	68.72%	141	31.06%
Город Санкт-Петербург	7	771	Территориальная избирательная комиссия №7	УИК №771	1125	365	364	2	217	59.62%	145	39.84%
Город Санкт-Петербург	7	772	Территориальная избирательная комиссия №7	УИК №772	2037	1250	1249	6	983	78.70%	260	20.82%
Город Санкт-Петербург	7	773	Территориальная избирательная комиссия №7	УИК №773	2054	995	995	4	707	71.06%	284	28.54%
Город Санкт-Петербург	7	774	Территориальная избирательная комиссия №7	УИК №774	1745	566	566	2	357	63.07%	207	36.57%
Город Санкт-Петербург	7	775	Территориальная избирательная комиссия №7	УИК №775	2391	1017	1017	300	464	45.62%	253	24.88%
Город Санкт-Петербург	7	776	Территориальная избирательная комиссия №7	УИК №776	2295	1780	1777	986	459	25.83%	332	18.68%
Город Санкт-Петербург	7	777	Территориальная избирательная комиссия №7	УИК №777	1698	637	635	10	381	60.00%	244	38.43%
Город Санкт-Петербург	7	778	Территориальная избирательная комиссия №7	УИК №778	1360	609	609	4	398	65.35%	207	33.99%
Город Санкт-Петербург	7	779	Территориальная избирательная комиссия №7	УИК №779	1340	1084	1082	13	833	76.99%	236	21.81%
Город Санкт-Петербург	7	780	Территориальная избирательная комиссия №7	УИК №780	1525	436	435	4	291	66.90%	140	32.18%
Город Санкт-Петербург	7	781	Территориальная избирательная комиссия №7	УИК №781	2234	1123	1123	2	897	79.88%	224	19.95%
Город Санкт-Петербург	7	782	Территориальная избирательная комиссия №7	УИК №782	1395	951	951	2	735	77.29%	214	22.50%
Город Санкт-Петербург	7	783	Территориальная избирательная комиссия №7	УИК №783	2145	1162	1162	0	1021	87.87%	141	12.13%
Город Санкт-Петербург	7	784	Территориальная избирательная комиссия №7	УИК №784	2094	888	886	15	526	59.37%	345	38.94%
Город Санкт-Петербург	7	785	Территориальная избирательная комиссия №7	УИК №785	2243	1997	1997	39	1585	79.37%	373	18.68%
Город Санкт-Петербург	7	786	Территориальная избирательная комиссия №7	УИК №786	1215	865	864	12	662	76.62%	190	21.99%
Город Санкт-Петербург	7	787	Территориальная избирательная комиссия №7	УИК №787	1675	1157	1157	3	937	80.99%	217	18.76%
Город Санкт-Петербург	7	788	Территориальная избирательная комиссия №7	УИК №788	2463	1847	1845	8	1465	79.40%	372	20.16%
Город Санкт-Петербург	7	789	Территориальная избирательная комиссия №7	УИК №789	2161	1178	1178	3	861	73.09%	314	26.66%
Город Санкт-Петербург	7	790	Территориальная избирательная комиссия №7	УИК №790	2187	1646	1646	9	1285	78.07%	352	21.39%
Город Санкт-Петербург	7	791	Территориальная избирательная комиссия №7	УИК №791	2249	1603	1603	4	1350	84.22%	249	15.53%
Город Санкт-Петербург	7	792	Территориальная избирательная комиссия №7	УИК №792	1888	1292	1292	6	1061	82.12%	225	17.41%
Город Санкт-Петербург	7	793	Территориальная избирательная комиссия №7	УИК №793	2208	1652	1652	4	1343	81.30%	305	18.46%
Город Санкт-Петербург	7	794	Территориальная избирательная комиссия №7	УИК №794	1730	1288	1285	3	1193	92.84%	89	6.93%
Город Санкт-Петербург	7	795	Территориальная избирательная комиссия №7	УИК №795	2209	1135	1132	5	930	82.16%	197	17.40%
Город Санкт-Петербург	7	796	Территориальная избирательная комиссия №7	УИК №796	2558	1555	1555	6	1165	74.92%	384	24.69%
Город Санкт-Петербург	7	797	Территориальная избирательная комиссия №7	УИК №797	1995	1432	1425	5	1156	81.12%	264	18.53%
Город Санкт-Петербург	7	798	Территориальная избирательная комиссия №7	УИК №798	1913	1425	1425	5	1212	85.05%	208	14.60%
Город Санкт-Петербург	7	799	Территориальная избирательная комиссия №7	УИК №799	1926	1851	1851	9	1283	69.31%	559	30.20%
Город Санкт-Петербург	7	800	Территориальная избирательная комиссия №7	УИК №800	2154	1959	1959	2	1704	86.98%	253	12.91%
Город Санкт-Петербург	7	801	Территориальная избирательная комиссия №7	УИК №801	1860	1501	1497	3	1074	71.74%	420	28.06%
Город Санкт-Петербург	7	802	Территориальная избирательная комиссия №7	УИК №802	2602	2342	2340	22	2110	90.17%	208	8.89%
Город Санкт-Петербург	7	803	Территориальная избирательная комиссия №7	УИК №803	2045	1923	1923	13	1552	80.71%	358	18.62%
Город Санкт-Петербург	7	804	Территориальная избирательная комиссия №7	УИК №804	2015	1818	1808	5	1006	55.64%	797	44.08%
Город Санкт-Петербург	7	805	Территориальная избирательная комиссия №7	УИК №805	1746	1572	1572	2	1443	91.79%	127	8.08%
Город Санкт-Петербург	7	806	Территориальная избирательная комиссия №7	УИК №806	2214	1998	1998	3	1842	92.19%	153	7.66%
Город Санкт-Петербург	7	807	Территориальная избирательная комиссия №7	УИК №807	2192	1976	1976	0	1818	92.00%	158	7.99%
Город Санкт-Петербург	7	808	Территориальная избирательная комиссия №7	УИК №808	1926	1588	1583	23	1248	78.84%	312	19.71%
Город Санкт-Петербург	7	809	Территориальная избирательная комиссия №7	УИК №809	2331	2098	2095	69	810	38.66%	1216	58.04%
Город Санкт-Петербург	7	810	Территориальная избирательная комиссия №7	УИК №810	2220	1998	1998	11	1785	89.34%	202	10.11%
Город Санкт-Петербург	7	811	Территориальная избирательная комиссия №7	УИК №811	2500	1973	1969	33	1758	89.28%	178	9.04%
Город Санкт-Петербург	7	812	Территориальная избирательная комиссия №7	УИК №812	2024	1417	1417	0	1318	93.01%	99	6.99%
Город Санкт-Петербург	7	813	Территориальная избирательная комиссия №7	УИК №813	1887	1265	1265	8	1037	81.98%	220	17.39%
Город Санкт-Петербург	7	814	Территориальная избирательная комиссия №7	УИК №814	2368	1658	1657	4	1326	80.02%	327	19.73%
Город Санкт-Петербург	7	815	Территориальная избирательная комиссия №7	УИК №815	303	158	158	3	91	57.59%	64	40.51%
Город Санкт-Петербург	8	1674	Территориальная избирательная комиссия №8	УИК №1674	924	777	776	14	603	77.71%	159	20.49%
Город Санкт-Петербург	8	1675	Территориальная избирательная комиссия №8	УИК №1675	944	667	667	16	477	71.51%	174	26.09%
Город Санкт-Петербург	8	1676	Территориальная избирательная комиссия №8	УИК №1676	1915	1576	1573	12	1295	82.33%	266	16.91%
Город Санкт-Петербург	8	1677	Территориальная избирательная комиссия №8	УИК №1677	1627	1350	1350	7	956	70.81%	387	28.67%
Город Санкт-Петербург	8	1678	Территориальная избирательная комиссия №8	УИК №1678	522	284	282	4	190	67.38%	88	31.21%
Город Санкт-Петербург	8	1679	Территориальная избирательная комиссия №8	УИК №1679	1555	971	971	4	714	73.53%	253	26.06%
Город Санкт-Петербург	8	1680	Территориальная избирательная комиссия №8	УИК №1680	1851	1264	1263	9	948	75.06%	306	24.23%
Город Санкт-Петербург	8	1681	Территориальная избирательная комиссия №8	УИК №1681	370	370	370	12	315	85.14%	43	11.62%
Город Санкт-Петербург	8	1682	Территориальная избирательная комиссия №8	УИК №1682	2584	1407	1405	9	994	70.75%	402	28.61%
Город Санкт-Петербург	8	1683	Территориальная избирательная комиссия №8	УИК №1683	2521	2182	2179	10	1609	73.84%	560	25.70%
Город Санкт-Петербург	8	1684	Территориальная избирательная комиссия №8	УИК №1684	2968	2081	2076	13	1527	73.55%	536	25.82%
Город Санкт-Петербург	8	1685	Территориальная избирательная комиссия №8	УИК №1685	2516	1494	1494	12	997	66.73%	485	32.46%
Город Санкт-Петербург	8	1686	Территориальная избирательная комиссия №8	УИК №1686	2349	1449	1433	8	1155	80.60%	270	18.84%
Город Санкт-Петербург	8	1687	Территориальная избирательная комиссия №8	УИК №1687	1796	1560	1553	7	1307	84.16%	239	15.39%
Город Санкт-Петербург	8	1688	Территориальная избирательная комиссия №8	УИК №1688	1679	1435	1435	6	1192	83.07%	237	16.52%
Город Санкт-Петербург	8	1689	Территориальная избирательная комиссия №8	УИК №1689	2353	1585	1567	18	946	60.37%	603	38.48%
Город Санкт-Петербург	8	1690	Территориальная избирательная комиссия №8	УИК №1690	2074	855	855	7	593	69.36%	255	29.82%
Город Санкт-Петербург	8	1691	Территориальная избирательная комиссия №8	УИК №1691	1666	695	695	11	472	67.91%	212	30.50%
Город Санкт-Петербург	8	1692	Территориальная избирательная комиссия №8	УИК №1692	686	581	581	19	405	69.71%	157	27.02%
Город Санкт-Петербург	8	1693	Территориальная избирательная комиссия №8	УИК №1693	2333	1450	1447	12	1114	76.99%	321	22.18%
Город Санкт-Петербург	8	1694	Территориальная избирательная комиссия №8	УИК №1694	2142	1847	1843	5	1569	85.13%	269	14.60%
Город Санкт-Петербург	8	1695	Территориальная избирательная комиссия №8	УИК №1695	2363	1060	1059	6	850	80.26%	203	19.17%
Город Санкт-Петербург	8	1696	Территориальная избирательная комиссия №8	УИК №1696	2372	943	943	2	622	65.96%	319	33.83%
Город Санкт-Петербург	8	1697	Территориальная избирательная комиссия №8	УИК №1697	2082	1888	1888	7	1545	81.83%	336	17.80%
Город Санкт-Петербург	8	1698	Территориальная избирательная комиссия №8	УИК №1698	2479	2031	2030	10	1627	80.15%	393	19.36%
Город Санкт-Петербург	8	1699	Территориальная избирательная комиссия №8	УИК №1699	2930	2391	2389	6	1928	80.70%	455	19.05%
Город Санкт-Петербург	8	1700	Территориальная избирательная комиссия №8	УИК №1700	2595	1151	1151	8	760	66.03%	383	33.28%
Город Санкт-Петербург	8	1701	Территориальная избирательная комиссия №8	УИК №1701	1606	1304	1304	6	1006	77.15%	292	22.39%
Город Санкт-Петербург	8	1702	Территориальная избирательная комиссия №8	УИК №1702	400	400	400	2	335	83.75%	63	15.75%
Город Санкт-Петербург	8	1703	Территориальная избирательная комиссия №8	УИК №1703	2244	1011	1011	24	654	64.69%	333	32.94%
Город Санкт-Петербург	8	1706	Территориальная избирательная комиссия №8	УИК №1706	2505	1054	1051	7	710	67.55%	334	31.78%
Город Санкт-Петербург	8	1708	Территориальная избирательная комиссия №8	УИК №1708	2822	1265	1264	19	814	64.40%	431	34.10%
Город Санкт-Петербург	8	1709	Территориальная избирательная комиссия №8	УИК №1709	1690	1525	1525	4	1327	87.02%	194	12.72%
Город Санкт-Петербург	8	1710	Территориальная избирательная комиссия №8	УИК №1710	1227	1095	1093	13	940	86.00%	140	12.81%
Город Санкт-Петербург	8	1711	Территориальная избирательная комиссия №8	УИК №1711	2219	1815	1813	13	1502	82.85%	298	16.44%
Город Санкт-Петербург	8	1712	Территориальная избирательная комиссия №8	УИК №1712	1699	1349	1347	9	1065	79.06%	273	20.27%
Город Санкт-Петербург	8	1713	Территориальная избирательная комиссия №8	УИК №1713	2073	1770	1764	10	1462	82.88%	292	16.55%
Город Санкт-Петербург	8	1714	Территориальная избирательная комиссия №8	УИК №1714	1570	934	934	6	680	72.81%	248	26.55%
Город Санкт-Петербург	8	1715	Территориальная избирательная комиссия №8	УИК №1715	1668	1443	1442	8	1027	71.22%	407	28.22%
Город Санкт-Петербург	8	1716	Территориальная избирательная комиссия №8	УИК №1716	1249	987	986	7	856	86.82%	123	12.47%
Город Санкт-Петербург	8	1717	Территориальная избирательная комиссия №8	УИК №1717	1706	1395	1392	30	1135	81.54%	227	16.31%
Город Санкт-Петербург	8	1718	Территориальная избирательная комиссия №8	УИК №1718	2222	1967	1966	10	1619	82.35%	337	17.14%
Город Санкт-Петербург	8	1719	Территориальная избирательная комиссия №8	УИК №1719	1363	1190	1186	5	1016	85.67%	165	13.91%
Город Санкт-Петербург	8	1721	Территориальная избирательная комиссия №8	УИК №1721	1733	634	634	6	449	70.82%	179	28.23%
Город Санкт-Петербург	8	1722	Территориальная избирательная комиссия №8	УИК №1722	2114	1764	1764	29	1373	77.83%	362	20.52%
Город Санкт-Петербург	9	1793	Территориальная избирательная комиссия №9	УИК №1793	2072	1758	1751	6	1457	83.21%	288	16.45%
Город Санкт-Петербург	9	1794	Территориальная избирательная комиссия №9	УИК №1794	2434	2054	2049	10	1691	82.53%	348	16.98%
Город Санкт-Петербург	9	1795	Территориальная избирательная комиссия №9	УИК №1795	1938	1555	1555	2	1339	86.11%	214	13.76%
Город Санкт-Петербург	9	1796	Территориальная избирательная комиссия №9	УИК №1796	1578	1258	1256	11	1076	85.67%	169	13.46%
Город Санкт-Петербург	9	1797	Территориальная избирательная комиссия №9	УИК №1797	1930	1385	1384	9	942	68.06%	433	31.29%
Город Санкт-Петербург	9	1798	Территориальная избирательная комиссия №9	УИК №1798	2133	1510	1510	4	1213	80.33%	293	19.40%
Город Санкт-Петербург	9	1799	Территориальная избирательная комиссия №9	УИК №1799	1887	1562	1561	0	1299	83.22%	262	16.78%
Город Санкт-Петербург	9	1800	Территориальная избирательная комиссия №9	УИК №1800	2313	1887	1885	6	1594	84.56%	285	15.12%
Город Санкт-Петербург	9	1801	Территориальная избирательная комиссия №9	УИК №1801	2103	1778	1769	5	1505	85.08%	259	14.64%
Город Санкт-Петербург	9	1802	Территориальная избирательная комиссия №9	УИК №1802	2375	2021	2009	15	1737	86.46%	257	12.79%
Город Санкт-Петербург	9	1803	Территориальная избирательная комиссия №9	УИК №1803	2669	2218	2212	7	1879	84.95%	326	14.74%
Город Санкт-Петербург	9	1804	Территориальная избирательная комиссия №9	УИК №1804	2286	1977	1970	2	1730	87.82%	238	12.08%
Город Санкт-Петербург	9	1805	Территориальная избирательная комиссия №9	УИК №1805	2501	2102	2100	11	1791	85.29%	298	14.19%
Город Санкт-Петербург	9	1806	Территориальная избирательная комиссия №9	УИК №1806	1939	1623	1618	7	1382	85.41%	229	14.15%
Город Санкт-Петербург	9	1807	Территориальная избирательная комиссия №9	УИК №1807	2723	2312	2311	1	1984	85.85%	326	14.11%
Город Санкт-Петербург	9	1808	Территориальная избирательная комиссия №9	УИК №1808	2699	2229	2224	5	1891	85.03%	328	14.75%
Город Санкт-Петербург	9	1809	Территориальная избирательная комиссия №9	УИК №1809	1367	1140	1140	3	991	86.93%	146	12.81%
Город Санкт-Петербург	9	1810	Территориальная избирательная комиссия №9	УИК №1810	3345	2888	2880	13	2458	85.35%	409	14.20%
Город Санкт-Петербург	9	1812	Территориальная избирательная комиссия №9	УИК №1812	2620	2233	2233	4	1250	55.98%	979	43.84%
Город Санкт-Петербург	9	1813	Территориальная избирательная комиссия №9	УИК №1813	2487	2397	2397	1	1391	58.03%	1005	41.93%
Город Санкт-Петербург	9	1814	Территориальная избирательная комиссия №9	УИК №1814	1775	1612	1610	8	1291	80.19%	311	19.32%
Город Санкт-Петербург	9	1815	Территориальная избирательная комиссия №9	УИК №1815	1709	1569	1569	7	1486	94.71%	76	4.84%
Город Санкт-Петербург	9	1816	Территориальная избирательная комиссия №9	УИК №1816	1890	1328	1327	12	967	72.87%	348	26.22%
Город Санкт-Петербург	9	1817	Территориальная избирательная комиссия №9	УИК №1817	1959	1760	1758	8	1067	60.69%	683	38.85%
Город Санкт-Петербург	9	1818	Территориальная избирательная комиссия №9	УИК №1818	1444	1296	1296	10	1068	82.41%	218	16.82%
Город Санкт-Петербург	9	1819	Территориальная избирательная комиссия №9	УИК №1819	2330	2143	2133	10	1809	84.81%	314	14.72%
Город Санкт-Петербург	9	1820	Территориальная избирательная комиссия №9	УИК №1820	1498	1428	1427	6	1192	83.53%	229	16.05%
Город Санкт-Петербург	9	1821	Территориальная избирательная комиссия №9	УИК №1821	2203	1948	1947	2	1563	80.28%	382	19.62%
Город Санкт-Петербург	9	1822	Территориальная избирательная комиссия №9	УИК №1822	1863	1738	1738	10	1368	78.71%	360	20.71%
Город Санкт-Петербург	9	1823	Территориальная избирательная комиссия №9	УИК №1823	2166	2015	2015	13	1681	83.42%	321	15.93%
Город Санкт-Петербург	9	1824	Территориальная избирательная комиссия №9	УИК №1824	2313	2081	2080	4	1769	85.05%	307	14.76%
Город Санкт-Петербург	9	1825	Территориальная избирательная комиссия №9	УИК №1825	2005	1704	1704	16	1431	83.98%	257	15.08%
Город Санкт-Петербург	9	1826	Территориальная избирательная комиссия №9	УИК №1826	1945	1627	1627	9	1288	79.16%	330	20.28%
Город Санкт-Петербург	9	1827	Территориальная избирательная комиссия №9	УИК №1827	1997	923	920	14	585	63.59%	321	34.89%
Город Санкт-Петербург	9	1828	Территориальная избирательная комиссия №9	УИК №1828	2130	1223	1221	8	929	76.09%	284	23.26%
Город Санкт-Петербург	9	1829	Территориальная избирательная комиссия №9	УИК №1829	1287	1118	1116	21	866	77.60%	229	20.52%
Город Санкт-Петербург	9	1830	Территориальная избирательная комиссия №9	УИК №1830	1062	903	903	0	841	93.13%	62	6.87%
Город Санкт-Петербург	9	1831	Территориальная избирательная комиссия №9	УИК №1831	1900	1503	1503	13	1262	83.97%	228	15.17%
Город Санкт-Петербург	9	1832	Территориальная избирательная комиссия №9	УИК №1832	2164	1828	1825	5	1074	58.85%	746	40.88%
Город Санкт-Петербург	9	1833	Территориальная избирательная комиссия №9	УИК №1833	1508	1240	1218	18	908	74.55%	292	23.97%
Город Санкт-Петербург	9	1834	Территориальная избирательная комиссия №9	УИК №1834	1829	1707	1707	0	1360	79.67%	347	20.33%
Город Санкт-Петербург	9	1835	Территориальная избирательная комиссия №9	УИК №1835	2286	1896	1882	155	1459	77.52%	268	14.24%
Город Санкт-Петербург	9	1836	Территориальная избирательная комиссия №9	УИК №1836	2252	2064	2064	27	1875	90.84%	162	7.85%
Город Санкт-Петербург	9	1837	Территориальная избирательная комиссия №9	УИК №1837	2228	1976	1976	10	1642	83.10%	324	16.40%
Город Санкт-Петербург	9	1838	Территориальная избирательная комиссия №9	УИК №1838	2664	2047	2047	4	1661	81.14%	382	18.66%
Город Санкт-Петербург	9	1839	Территориальная избирательная комиссия №9	УИК №1839	2447	1959	1959	7	1679	85.71%	273	13.94%
Город Санкт-Петербург	9	1840	Территориальная избирательная комиссия №9	УИК №1840	2686	2453	2453	7	2282	93.03%	164	6.69%
Город Санкт-Петербург	9	1841	Территориальная избирательная комиссия №9	УИК №1841	1890	795	795	5	558	70.19%	232	29.18%
Город Санкт-Петербург	9	1842	Территориальная избирательная комиссия №9	УИК №1842	1499	1330	1330	4	1103	82.93%	223	16.77%
Город Санкт-Петербург	9	1843	Территориальная избирательная комиссия №9	УИК №1843	2444	1686	1661	8	1246	75.02%	407	24.50%
Город Санкт-Петербург	9	1844	Территориальная избирательная комиссия №9	УИК №1844	2547	1852	1849	7	1559	84.32%	283	15.31%
Город Санкт-Петербург	10	199	Территориальная избирательная комиссия №10	УИК №199	2022	652	652	4	446	68.40%	202	30.98%
Город Санкт-Петербург	10	200	Территориальная избирательная комиссия №10	УИК №200	2331	1770	1761	12	1422	80.75%	327	18.57%
Город Санкт-Петербург	10	201	Территориальная избирательная комиссия №10	УИК №201	1592	1056	1050	3	803	76.48%	244	23.24%
Город Санкт-Петербург	10	202	Территориальная избирательная комиссия №10	УИК №202	1596	1197	1197	3	943	78.78%	251	20.97%
Город Санкт-Петербург	10	203	Территориальная избирательная комиссия №10	УИК №203	964	795	795	5	132	16.60%	658	82.77%
Город Санкт-Петербург	10	204	Территориальная избирательная комиссия №10	УИК №204	1692	1123	1123	11	819	72.93%	293	26.09%
Город Санкт-Петербург	10	205	Территориальная избирательная комиссия №10	УИК №205	1826	1363	1363	1	1078	79.09%	284	20.84%
Город Санкт-Петербург	10	206	Территориальная избирательная комиссия №10	УИК №206	2068	1536	1536	7	1147	74.67%	382	24.87%
Город Санкт-Петербург	10	207	Территориальная избирательная комиссия №10	УИК №207	1223	478	477	2	307	64.36%	168	35.22%
Город Санкт-Петербург	10	208	Территориальная избирательная комиссия №10	УИК №208	2597	1683	1681	9	1238	73.65%	434	25.82%
Город Санкт-Петербург	10	209	Территориальная избирательная комиссия №10	УИК №209	1956	1515	1515	7	1203	79.41%	305	20.13%
Город Санкт-Петербург	10	210	Территориальная избирательная комиссия №10	УИК №210	2352	1627	1625	17	1252	77.05%	356	21.91%
Город Санкт-Петербург	10	211	Территориальная избирательная комиссия №10	УИК №211	2960	2019	2019	16	1668	82.62%	335	16.59%
Город Санкт-Петербург	10	212	Территориальная избирательная комиссия №10	УИК №212	2205	1809	1807	8	1335	73.88%	464	25.68%
Город Санкт-Петербург	10	213	Территориальная избирательная комиссия №10	УИК №213	2386	1907	1907	6	1399	73.36%	502	26.32%
Город Санкт-Петербург	10	214	Территориальная избирательная комиссия №10	УИК №214	2602	2459	2459	9	2054	83.53%	396	16.10%
Город Санкт-Петербург	10	215	Территориальная избирательная комиссия №10	УИК №215	2448	1868	1865	46	1320	70.78%	499	26.76%
Город Санкт-Петербург	10	216	Территориальная избирательная комиссия №10	УИК №216	1898	1547	1545	25	1170	75.73%	350	22.65%
Город Санкт-Петербург	10	217	Территориальная избирательная комиссия №10	УИК №217	2195	1813	1813	21	1370	75.57%	422	23.28%
Город Санкт-Петербург	10	218	Территориальная избирательная комиссия №10	УИК №218	2107	1539	1539	7	1352	87.85%	180	11.70%
Город Санкт-Петербург	10	219	Территориальная избирательная комиссия №10	УИК №219	2125	1765	1764	4	472	26.76%	1288	73.02%
Город Санкт-Петербург	10	220	Территориальная избирательная комиссия №10	УИК №220	2215	1655	1655	4	1384	83.63%	267	16.13%
Город Санкт-Петербург	10	221	Территориальная избирательная комиссия №10	УИК №221	1655	1247	1243	7	950	76.43%	286	23.01%
Город Санкт-Петербург	10	222	Территориальная избирательная комиссия №10	УИК №222	2133	1615	1610	20	1324	82.24%	266	16.52%
Город Санкт-Петербург	10	223	Территориальная избирательная комиссия №10	УИК №223	1819	1552	1552	9	1221	78.67%	322	20.75%
Город Санкт-Петербург	10	224	Территориальная избирательная комиссия №10	УИК №224	1492	1192	1192	17	915	76.76%	260	21.81%
Город Санкт-Петербург	10	225	Территориальная избирательная комиссия №10	УИК №225	2058	1698	1698	41	1199	70.61%	458	26.97%
Город Санкт-Петербург	10	226	Территориальная избирательная комиссия №10	УИК №226	2231	1857	1857	1	1474	79.38%	382	20.57%
Город Санкт-Петербург	10	227	Территориальная избирательная комиссия №10	УИК №227	2292	1996	1995	32	1716	86.02%	247	12.38%
Город Санкт-Петербург	10	228	Территориальная избирательная комиссия №10	УИК №228	2208	1888	1888	143	1499	79.40%	246	13.03%
Город Санкт-Петербург	10	229	Территориальная избирательная комиссия №10	УИК №229	2318	1888	1888	2	1487	78.76%	399	21.13%
Город Санкт-Петербург	10	230	Территориальная избирательная комиссия №10	УИК №230	1672	1386	1386	10	1147	82.76%	229	16.52%
Город Санкт-Петербург	10	231	Территориальная избирательная комиссия №10	УИК №231	1580	1269	1269	5	989	77.94%	275	21.67%
Город Санкт-Петербург	10	232	Территориальная избирательная комиссия №10	УИК №232	2498	2079	2079	0	1688	81.19%	391	18.81%
Город Санкт-Петербург	10	233	Территориальная избирательная комиссия №10	УИК №233	1971	1693	1690	2	356	21.07%	1332	78.82%
Город Санкт-Петербург	10	234	Территориальная избирательная комиссия №10	УИК №234	2051	1703	1703	5	1396	81.97%	302	17.73%
Город Санкт-Петербург	10	235	Территориальная избирательная комиссия №10	УИК №235	2065	1667	1666	13	374	22.45%	1279	76.77%
Город Санкт-Петербург	10	236	Территориальная избирательная комиссия №10	УИК №236	2047	1714	1714	6	471	27.48%	1237	72.17%
Город Санкт-Петербург	10	237	Территориальная избирательная комиссия №10	УИК №237	1867	1505	1505	8	321	21.33%	1176	78.14%
Город Санкт-Петербург	10	238	Территориальная избирательная комиссия №10	УИК №238	1720	1378	1378	5	280	20.32%	1093	79.32%
Город Санкт-Петербург	10	239	Территориальная избирательная комиссия №10	УИК №239	2629	2107	2105	16	1770	84.09%	319	15.15%
Город Санкт-Петербург	10	240	Территориальная избирательная комиссия №10	УИК №240	1658	1376	1374	5	1221	88.86%	148	10.77%
Город Санкт-Петербург	10	241	Территориальная избирательная комиссия №10	УИК №241	1849	1269	1267	6	1062	83.82%	199	15.71%
Город Санкт-Петербург	10	242	Территориальная избирательная комиссия №10	УИК №242	1907	1565	1547	11	1259	81.38%	277	17.91%
Город Санкт-Петербург	10	243	Территориальная избирательная комиссия №10	УИК №243	2350	1600	1600	0	335	20.94%	1265	79.06%
Город Санкт-Петербург	10	244	Территориальная избирательная комиссия №10	УИК №244	2102	1806	1806	11	394	21.82%	1401	77.57%
Город Санкт-Петербург	11	414	Территориальная избирательная комиссия №11	УИК №414	2319	1580	1580	18	995	62.97%	567	35.89%
Город Санкт-Петербург	11	415	Территориальная избирательная комиссия №11	УИК №415	1789	1396	1396	22	1273	91.19%	101	7.23%
Город Санкт-Петербург	11	416	Территориальная избирательная комиссия №11	УИК №416	2998	1637	1633	9	1143	69.99%	481	29.45%
Город Санкт-Петербург	11	417	Территориальная избирательная комиссия №11	УИК №417	2622	935	933	5	587	62.92%	341	36.55%
Город Санкт-Петербург	11	418	Территориальная избирательная комиссия №11	УИК №418	1934	1438	1436	4	1085	75.56%	347	24.16%
Город Санкт-Петербург	11	419	Территориальная избирательная комиссия №11	УИК №419	1810	988	988	1	716	72.47%	271	27.43%
Город Санкт-Петербург	11	420	Территориальная избирательная комиссия №11	УИК №420	2233	1730	1730	5	1396	80.69%	329	19.02%
Город Санкт-Петербург	11	421	Территориальная избирательная комиссия №11	УИК №421	2832	2094	2094	7	1533	73.21%	554	26.46%
Город Санкт-Петербург	11	422	Территориальная избирательная комиссия №11	УИК №422	2472	1854	1845	19	1464	79.35%	362	19.62%
Город Санкт-Петербург	11	423	Территориальная избирательная комиссия №11	УИК №423	2133	1745	1745	9	1348	77.25%	388	22.23%
Город Санкт-Петербург	11	424	Территориальная избирательная комиссия №11	УИК №424	2025	1720	1696	14	1341	79.07%	341	20.11%
Город Санкт-Петербург	11	425	Территориальная избирательная комиссия №11	УИК №425	1917	1531	1531	3	1128	73.68%	400	26.13%
Город Санкт-Петербург	11	426	Территориальная избирательная комиссия №11	УИК №426	2155	1581	1565	16	1293	82.62%	256	16.36%
Город Санкт-Петербург	11	427	Территориальная избирательная комиссия №11	УИК №427	2133	1655	1604	26	1227	76.50%	351	21.88%
Город Санкт-Петербург	11	428	Территориальная избирательная комиссия №11	УИК №428	1929	1650	1650	6	1417	85.88%	227	13.76%
Город Санкт-Петербург	11	429	Территориальная избирательная комиссия №11	УИК №429	1778	1234	1231	7	891	72.38%	333	27.05%
Город Санкт-Петербург	11	430	Территориальная избирательная комиссия №11	УИК №430	2046	1403	1402	5	984	70.19%	413	29.46%
Город Санкт-Петербург	11	431	Территориальная избирательная комиссия №11	УИК №431	1653	1060	1057	5	835	78.99%	217	20.53%
Город Санкт-Петербург	11	432	Территориальная избирательная комиссия №11	УИК №432	1814	683	682	7	426	62.46%	249	36.51%
Город Санкт-Петербург	11	433	Территориальная избирательная комиссия №11	УИК №433	2343	892	892	7	521	58.41%	364	40.81%
Город Санкт-Петербург	11	434	Территориальная избирательная комиссия №11	УИК №434	1971	1368	1361	14	1081	79.43%	266	19.54%
Город Санкт-Петербург	11	435	Территориальная избирательная комиссия №11	УИК №435	1785	1250	1250	7	866	69.28%	377	30.16%
Город Санкт-Петербург	11	436	Территориальная избирательная комиссия №11	УИК №436	2014	1558	1552	28	1212	78.09%	312	20.10%
